yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
2tpi	P00974	BPT1_BOVIN	reviewed	Pancreatic trypsin inhibitor (Aprotinin) (Basic protease inhibitor) (BPI) (BPTI)		Bos taurus (Bovine)	100
4cts	P00889	CISY_PIG	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Sus scrofa (Pig)	464
4ts1	P00952	SYY_GEOSE	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) (TyrTS)	tyrS	Geobacillus stearothermophilus (Bacillus stearothermophilus)	419
2ypi	P00942	TPIS_YEAST	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1 YDR050C YD9609.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	248
6apr,5apr,4apr	P06026	CARP_RHICH	reviewed	Rhizopuspepsin (EC 3.4.23.21)		Rhizopus chinensis (Bread mold)	393
4sga	P00776	PRTA_STRGR	reviewed	Streptogrisin-A (EC 3.4.21.80) (Pronase enzyme A) (SGPA) (Serine protease A)	sprA	Streptomyces griseus	297
1rin	P02867	LEC_PEA	reviewed	Lectin [Cleaved into: Lectin beta chain; Lectin alpha chain]	LECA PSL1	Pisum sativum (Garden pea)	275
8abp,7abp,6abp,9abp,1bap,5abp,1apb,1abf	P02924	ARAF_ECOLI	reviewed	L-arabinose-binding periplasmic protein (ABP)	araF b1901 JW1889	Escherichia coli (strain K12)	329
1pop,1pip	P00784	PAPA1_CARPA	reviewed	Papain (EC 3.4.22.2) (Papaya proteinase I) (PPI) (allergen Car p 1)		Carica papaya (Papaya)	345
1him	I6SHA6	I6SHA6_9INFA	unreviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (A/reassortant/X-47(Victoria/3/1975 x Puerto Rico/8/1934)(H3N2))	567
1thr	P26631	HIR18_POEMA	reviewed	Hirullin-P18 (Hirudin-P18) (Thrombin inhibitor hirullin P18)		Poecilobdella manillensis (Mexican medical leech) (Hirudinaria manillensis)	62
1hsl	P0AEU0	HISJ_ECOLI	reviewed	Histidine-binding periplasmic protein (HBP)	hisJ b2309 JW2306	Escherichia coli (strain K12)	260
1hgi,1hgj,1hge	P03438	HEMA_I000X	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (strain A/X-31 H3N2)	566
2cgr	A2P1G9	A2P1G9_MOUSE	unreviewed	Kappa light chain (Fragment)	Igkc Igk-C	Mus musculus (Mouse)	219
1erb	P18902	RET4_BOVIN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	RBP4	Bos taurus (Bovine)	183
1wht	P08819	CBP2_WHEAT	reviewed	Serine carboxypeptidase 2 (EC 3.4.16.6) (CPDW-II) (CP-WII) (Carboxypeptidase D) (Serine carboxypeptidase II) [Cleaved into: Serine carboxypeptidase 2 chain A (Serine carboxypeptidase II chain A); Serine carboxypeptidase 2 chain B (Serine carboxypeptidase II chain B)]	CBP2	Triticum aestivum (Wheat)	444
2sim	P29768	NANH_SALTY	reviewed	Sialidase (EC 3.2.1.18) (N-acylneuraminate glycohydrolase) (Neuraminidase) (NANase) (STNA)	nanH STM0928	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	382
1rpa	P20646	PPAP_RAT	reviewed	Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase)	Acp3 Acpp	Rattus norvegicus (Rat)	381
1tka,1tkc,1tkb	P23254	TKT1_YEAST	reviewed	Transketolase 1 (TK 1) (EC 2.2.1.1)	TKL1 YPR074C YP9499.29C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	680
1iht	P09944	HIRPA_HIRME	reviewed	Hirudin-PA		Hirudo medicinalis (Medicinal leech)	66
2cht	P19080	AROH_BACSU	reviewed	Chorismate mutase AroH (CM) (EC 5.4.99.5)	aroH BSU22690	Bacillus subtilis (strain 168)	127
1drj,2dri,1drk	P02925	RBSB_ECOLI	reviewed	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	Escherichia coli (strain K12)	296
