yourlist:M2022030892C7BAECDB1C5C413EE0E0348724B682456919U	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P02867	P02867	LEC_PEA	reviewed	Lectin [Cleaved into: Lectin beta chain; Lectin alpha chain]	LECA PSL1	Pisum sativum (Garden pea)	275
Q8IWA4	Q8IWA4	MFN1_HUMAN	reviewed	Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)	MFN1	Homo sapiens (Human)	741
P25823	P25823	TUD_DROME	reviewed	Maternal protein tudor	tud CG9450	Drosophila melanogaster (Fruit fly)	2515
O43353	O43353	RIPK2_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)	540
Q9FII5	Q9FII5	TDR_ARATH	reviewed	Leucine-rich repeat receptor-like protein kinase TDR (EC 2.7.11.1) (Protein PHLOEM INTERCALATED WITH XYLEM) (Tracheary element differentiation inhibitory factor receptor) (AtTDR) (TDIF receptor)	TDR PXY At5g61480 MCI2.4	Arabidopsis thaliana (Mouse-ear cress)	1041
P84243	P84243	H33_HUMAN	reviewed	Histone H3.3	H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B	Homo sapiens (Human)	136
P51659	P51659	DHB4_HUMAN	reviewed	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	HSD17B4 EDH17B4 SDR8C1	Homo sapiens (Human)	736
Q8CF89	Q8CF89	TAB1_MOUSE	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1)	Tab1 Map3k7ip1	Mus musculus (Mouse)	502
P61769	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
A0A0M3KL20	A0A0M3KL20	A0A0M3KL20_HELPY	unreviewed	Alpha-carbonic anhydrase	C694_06140	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	234
H8ESN0	H8ESN0	KASA_MYCTE	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.293) (Beta-ketoacyl-ACP synthase 1) (KAS 1)	kasA ERDMAN_2470	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	416
P00517	P00517	KAPCA_BOVIN	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA	Bos taurus (Bovine)	351
Q2TLC1	Q2TLC1	Q2TLC1_9ADEN	unreviewed	Fiber	IV	Avirulent turkey hemorrhagic enteritis virus	454
P29474	P29474	NOS3_HUMAN	reviewed	Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)	NOS3	Homo sapiens (Human)	1203
P49427	P49427	UB2R1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 R1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme R1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme R1) (Ubiquitin-conjugating enzyme E2-32 kDa complementing) (Ubiquitin-conjugating enzyme E2-CDC34) (Ubiquitin-protein ligase R1)	CDC34 UBCH3 UBE2R1	Homo sapiens (Human)	236
P27577	P27577	ETS1_MOUSE	reviewed	Protein C-ets-1 (p54)	Ets1 Ets-1	Mus musculus (Mouse)	440
P23443	P23443	KS6B1_HUMAN	reviewed	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	Homo sapiens (Human)	525
Q9UPS6	Q9UPS6	SET1B_HUMAN	reviewed	Histone-lysine N-methyltransferase SETD1B (EC 2.1.1.364) (Lysine N-methyltransferase 2G) (SET domain-containing protein 1B) (hSET1B)	SETD1B KIAA1076 KMT2G SET1B	Homo sapiens (Human)	1966
Q99271	Q99271	NAH1_YEAST	reviewed	Na(+)/H(+) antiporter	NHA1 YLR138W L3149 L9606.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985
P15927	P15927	RFA2_HUMAN	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	Homo sapiens (Human)	270
A0A0H3JPF2	A0A0H3JPF2	A0A0H3JPF2_STAAM	unreviewed	Probable diaminopimelate decarboxylase protein	SAV0123	Staphylococcus aureus (strain Mu50 / ATCC 700699)	400
P0A5J4	P9WK16	MASZ_MYCTO	reviewed	Malate synthase G (EC 2.3.3.9)	glcB MT1885	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	741
C5I2D9	C5I2D9	C5I2D9_PSEFL	unreviewed	Enantio-pyochelin receptor (FetA)	fetA	Pseudomonas fluorescens	743
